	CS1-Fungus	CS2-Fungus	CS3-Fungus	FS1-Fungus	FS2-Fungus	FS3-Fungus	SC1-Fungus	SC2-Fungus	SC3-Fungus	WS1-Fungus	WS2-Fungus	WS3-Fungus
ASV_333	0	0	0	430	429	209	0	0	0	0	0	0
ASV_334	0	0	0	0	0	0	385	360	318	0	0	0
ASV_335	69	113	367	0	0	0	39	37	11	0	388	34
ASV_336	0	0	0	0	0	0	0	0	0	568	0	486
ASV_337	0	0	11	38	131	823	14	5	20	0	0	0
ASV_338	9	0	0	0	7	0	218	213	530	22	19	23
ASV_339	41	150	148	162	162	57	0	8	94	38	81	94
ASV_340	49	90	280	0	0	0	0	0	0	0	535	74
ASV_341	42	57	89	64	60	0	0	0	0	284	214	216
ASV_342	0	0	0	0	0	0	98	62	866	0	0	0
ASV_343	0	0	0	147	710	167	0	0	0	0	0	0
ASV_344	17	44	0	199	17	0	181	210	142	0	199	14
ASV_345	0	55	79	62	47	85	142	124	119	47	70	191
ASV_346	39	0	2	0	0	0	263	323	237	131	0	23
ASV_347	16	104	255	0	52	0	17	12	54	117	115	275
ASV_348	36	169	199	0	0	0	0	0	0	176	155	280
ASV_349	80	109	150	61	79	25	0	0	142	70	190	89
ASV_350	0	2	41	43	174	47	177	135	210	39	64	46
ASV_351	0	378	0	29	37	0	144	172	179	0	37	0
ASV_352	0	16	82	0	19	0	16	23	12	19	751	37
ASV_353	29	73	50	72	284	109	6	10	18	142	77	99
ASV_354	0	969	0	0	0	0	0	0	0	0	0	0
ASV_355	0	639	87	0	0	0	0	52	113	0	0	68
ASV_356	0	0	0	912	0	0	0	0	0	0	0	47
ASV_357	35	112	41	22	65	48	111	108	103	105	68	139
ASV_358	0	171	268	0	0	0	0	0	391	0	117	0
ASV_359	29	43	88	92	29	0	54	82	115	187	116	109
ASV_360	0	0	0	0	0	0	0	0	240	298	399	0
ASV_361	79	83	26	282	95	0	139	142	47	13	0	29
ASV_362	0	0	0	100	194	137	221	249	29	0	0	0
ASV_363	0	0	0	0	0	0	228	192	494	0	0	11
ASV_364	0	19	0	0	122	40	34	24	107	541	0	30
ASV_365	45	0	91	39	79	69	115	118	164	51	85	59
ASV_366	0	0	8	0	0	0	161	153	520	53	11	8
ASV_367	0	0	0	170	425	318	0	0	0	0	0	0
ASV_368	49	84	141	64	149	98	83	93	65	30	0	54
ASV_369	126	185	138	0	23	7	0	0	105	37	40	246
ASV_370	8	0	7	39	94	90	233	234	201	0	0	0
ASV_371	0	0	0	0	0	0	483	421	0	0	0	0
ASV_372	144	317	361	0	0	0	0	0	0	0	81	0
ASV_373	0	0	0	505	219	174	0	0	0	0	0	0
ASV_374	16	42	160	0	0	0	0	0	0	57	533	89
ASV_375	0	117	57	0	132	223	114	145	101	4	0	0
ASV_376	0	0	2	496	100	182	24	31	57	0	0	0
ASV_377	0	0	0	0	0	0	366	334	79	0	0	111
ASV_378	82	0	0	187	0	269	55	79	0	119	0	95
ASV_379	30	117	149	76	69	58	0	0	0	135	250	0
ASV_380	0	0	0	0	9	807	36	25	0	0	0	0
ASV_381	142	269	460	0	0	0	0	0	0	0	0	0
ASV_382	63	37	126	32	61	102	0	0	43	186	56	164
ASV_383	0	0	82	65	84	58	65	78	127	0	79	231
ASV_384	55	65	0	163	0	193	54	0	0	92	145	100
ASV_385	31	119	90	86	194	61	9	16	105	31	56	64
ASV_386	0	0	0	0	0	0	373	411	71	0	0	0
ASV_387	0	59	45	240	142	130	35	53	59	26	0	65
ASV_388	0	38	37	0	19	0	5	13	4	7	695	36
ASV_389	104	265	94	0	0	202	0	0	51	43	33	58
ASV_390	22	40	123	204	58	100	16	10	15	206	36	18
ASV_391	0	36	39	145	140	314	0	0	122	51	0	0
ASV_392	28	91	85	41	0	0	172	150	104	0	55	114
ASV_393	0	0	0	324	398	115	0	0	0	0	0	0
ASV_394	0	420	39	0	0	65	15	0	90	0	132	75
ASV_395	51	26	75	59	79	65	5	0	348	40	28	58
ASV_396	28	446	0	0	0	0	0	0	359	0	0	0
ASV_397	0	0	0	142	478	122	21	15	55	0	0	0
ASV_398	0	0	0	335	336	157	0	0	0	0	0	0
ASV_399	0	826	0	0	0	0	0	0	0	0	0	0
ASV_400	110	304	407	0	0	0	0	0	0	0	0	0
ASV_401	14	9	72	269	74	82	0	8	71	58	89	75
ASV_402	0	43	89	0	0	10	25	14	213	0	176	247
ASV_403	0	10	0	0	0	0	8	10	781	0	0	0
ASV_404	0	0	0	452	185	0	64	56	51	0	0	0
ASV_405	0	150	116	0	0	0	58	45	93	124	76	142
ASV_406	0	0	0	324	295	184	0	0	0	0	0	0
ASV_407	11	96	46	123	222	125	18	13	55	5	20	60
ASV_408	47	73	257	58	115	79	62	47	50	0	0	0
ASV_409	22	94	82	74	310	52	0	0	9	0	71	68
ASV_410	0	0	0	38	195	263	82	88	116	0	0	0
ASV_411	128	279	370	0	0	0	0	0	0	0	0	0
ASV_412	0	0	0	43	64	37	216	189	228	0	0	0
ASV_413	0	0	0	0	0	0	213	200	363	0	0	0
ASV_414	46	280	384	0	0	0	0	0	0	64	0	0
ASV_415	0	0	9	0	0	0	356	385	0	0	0	23
ASV_416	11	0	0	63	269	217	0	0	204	0	2	6
ASV_417	0	0	27	22	19	0	0	0	0	77	129	497
ASV_418	0	56	14	241	239	151	10	10	10	0	0	34
ASV_419	145	398	221	0	0	0	0	0	0	0	0	0
ASV_420	22	44	104	27	24	49	161	168	84	0	28	52
ASV_421	0	0	0	220	236	38	127	123	18	0	0	0
ASV_422	0	0	5	0	19	73	206	193	265	0	0	0
ASV_423	8	94	11	0	0	0	0	0	0	268	224	155
ASV_424	0	23	16	215	169	150	0	0	44	35	46	58
ASV_425	0	26	0	519	208	0	0	0	0	0	0	0
ASV_426	0	0	0	394	357	0	0	0	0	0	0	0
